date,close
2014-01-02,1.6491185703936244
2014-01-03,1.6417604912998975
2014-01-06,1.6382030591352523
2014-01-07,1.6412199963905432
2014-01-08,1.6423825057387942
2014-01-09,1.6484408113835907
2014-01-10,1.6409420289855075
2014-01-13,1.64169772754599
2014-01-14,1.643754886042456
2014-01-15,1.638882197060949
2014-01-16,1.6339602235173947
2014-01-17,1.644153957879448
2014-01-20,1.6419753086419753
2014-01-21,1.6417040903022213
2014-01-22,1.6564102564102565
2014-01-23,1.659750532400365
2014-01-24,1.6508261970811724
2014-01-27,1.6554148233440398
2014-01-28,1.6587470377347027
2014-01-29,1.655273081133682
2014-01-30,1.6477300315610586
2014-01-31,1.6455834905947524
2014-02-03,1.6343382976147236
2014-02-04,1.630661600627224
2014-02-05,1.6273732275895216
2014-02-06,1.6283559577677225
2014-02-07,1.6326677892711088
2014-02-10,1.6399711399711399
2014-02-11,1.646223292205838
2014-02-12,1.6520204479065237
2014-02-13,1.664637857577602
2014-02-14,1.6708721886999451
2014-02-17,1.6729559748427671
2014-02-18,1.6678003158022592
2014-02-19,1.6658586837959037
2014-02-20,1.667396593673966
2014-02-21,1.667863183383425
2014-02-24,1.6655550839750197
2014-02-25,1.669276048303902
2014-02-26,1.6686117189399465
2014-02-27,1.664655330042055
2014-02-28,1.6717700453857791
2014-03-03,1.672802381386307
2014-03-04,1.6696580160077614
2014-03-05,1.6711695265912134
2014-03-06,1.6692980325479718
2014-03-07,1.677006638503319
2014-03-10,1.6647877188774285
2014-03-11,1.661468330134357
2014-03-12,1.661323124775691
2014-03-13,1.6688012448381113
2014-03-14,1.6594752883523578
2014-03-17,1.661906184642964
2014-03-18,1.6583561970654896
2014-03-19,1.6626434034416826
2014-03-20,1.649032412677491
2014-03-21,1.648917075505564
2014-03-24,1.648790998324156
2014-03-25,1.6517728797316722
2014-03-26,1.654390595009597
2014-03-27,1.6621964479884015
2014-03-28,1.6633220502901351
2014-03-31,1.6648152620140062
2014-04-01,1.6630487216594307
2014-04-02,1.666062801932367
2014-04-03,1.6597565385078945
2014-04-04,1.6571912422886175
2014-04-07,1.659170596058518
2014-04-08,1.6711963115748603
2014-04-09,1.67453717754173
2014-04-10,1.6763781431334623
2014-04-11,1.673139548908455
2014-04-14,1.6711385061638868
2014-04-15,1.672888134771543
2014-04-16,1.6798155115912126
2014-04-17,1.6808200897731407
2014-04-22,1.683973187081048
2014-04-23,1.6790872678723145
2014-04-24,1.6792223572296476
2014-04-25,1.6808652852889348
2014-04-28,1.6846135148274188
2014-04-29,1.6815859888105085
2014-04-30,1.6828675577156744
2014-05-02,1.6876065254443633
2014-05-05,1.6859271140923284
2014-05-06,1.6982280947451744
2014-05-07,1.6969660046301938
2014-05-08,1.69476497024171
2014-05-09,1.6862649128173754
2014-05-12,1.6886462614242777
2014-05-13,1.68351864365133
2014-05-14,1.6777546777546777
2014-05-15,1.67553974484789
2014-05-16,1.6809032891507119
2014-05-19,1.6836484164006873
2014-05-20,1.6832923832923834
2014-05-21,1.6896466518408697
2014-05-22,1.6865745310957552
2014-05-23,1.6840674615432136
2014-05-26,1.6835411779232003
2014-05-27,1.681627620221948
2014-05-28,1.6748307692307693
2014-05-29,1.671209330877839
2014-05-30,1.6734718976755627
2014-06-02,1.6743756919670316
2014-06-03,1.674849637903523
2014-06-04,1.6761377613776138
2014-06-05,1.6743181537702085
2014-06-06,1.6825357671435621
2014-06-09,1.680311168734951
2014-06-10,1.6776470588235295
2014-06-11,1.6786864931846344
2014-06-12,1.6827963677074265
2014-06-13,1.6962025316455693
2014-06-16,1.6970152997241033
2014-06-17,1.697272954716037
2014-06-18,1.694316052467208
2014-06-19,1.7028192786147405
2014-06-20,1.7038244514106584
2014-06-23,1.7007755816862646
2014-06-24,1.6990642545227697
2014-06-25,1.6971019009037083
2014-06-26,1.7026654986860217
2014-06-27,1.703245169761771
2014-06-30,1.7040548970679974
2014-07-01,1.7150732990853277
2014-07-02,1.7160090474993717
2014-07-03,1.7132454488386692
2014-07-04,1.714357809740096
2014-07-07,1.712162247275934
2014-07-08,1.7117843421301255
2014-07-09,1.709886242222362
2014-07-10,1.7110873529966668
2014-07-11,1.7120010074297947
2014-07-14,1.7106452422796887
2014-07-15,1.716429201866095
2014-07-16,1.7122611666455776
2014-07-17,1.7100771273233024
2014-07-18,1.7086728570526184
2014-07-21,1.7078963992419456
2014-07-22,1.7053763440860217
2014-07-23,1.702706120384421
2014-07-24,1.7006880010099097
2014-07-25,1.6987928964166088
2014-07-28,1.69919676174815
2014-07-29,1.6947248864209994
2014-07-30,1.6926866237211067
2014-07-31,1.6875630676084765
2014-08-01,1.682577565632458
2014-08-04,1.683642749623683
