date,daily_return,regime_id,regime_label
2016-01-05,-0.020823902218198298,2,Normal
2016-01-06,-0.02219140083217752,2,Normal
2016-01-07,-0.00378250591016549,2,Normal
2016-01-08,0.022781205505457924,2,Normal
2016-01-11,-0.04037122969837592,2,Normal
2016-01-12,-0.0024177949709864865,1,Elevated
2016-01-13,0.004847309743092554,1,Elevated
2016-01-14,-0.005788712011577379,1,Elevated
2016-01-15,0.026200873362445476,1,Elevated
2016-01-18,-0.00047281323877068626,1,Elevated
2016-01-19,0.014191106906338735,1,Elevated
2016-01-20,-0.041977611940298476,1,Elevated
2016-01-21,0.01363193768257065,1,Elevated
2016-01-22,0.0009606147934677622,1,Elevated
2016-01-25,-0.01679462571976964,1,Elevated
2016-01-26,-0.003904343582235237,1,Elevated
2016-01-27,-0.01763841254287113,1,Elevated
2016-01-28,0.003491271820448949,1,Elevated
2016-01-29,-0.0014910536779324524,1,Elevated
2016-02-01,0.028870084619213587,1,Elevated
2016-02-02,-0.037252056119980614,1,Elevated
2016-02-03,0.012562814070351758,1,Elevated
2016-02-04,-0.022828784119106715,1,Elevated
2016-02-05,0.01066531234129009,1,Elevated
2016-02-08,0.0341708542713568,1,Elevated
2016-02-09,-0.010204081632653073,1,Elevated
2016-02-10,0.004418262150220897,1,Elevated
2016-02-11,-0.01026392961876832,1,Elevated
2016-02-12,0.022716049382716097,1,Elevated
2016-02-15,-0.00917431192660545,1,Elevated
2016-02-16,0.007309941520467822,1,Elevated
2016-02-17,0.011611030478954953,1,Elevated
2016-02-18,0.013868962219033998,1,Elevated
2016-02-19,-0.021226415094339646,1,Elevated
2016-02-22,0.022168674698795243,1,Elevated
2016-02-23,0.008015087223008033,1,Elevated
2016-02-24,0.023386342376052305,1,Elevated
2016-02-25,0.005027422303473417,1,Elevated
2016-02-26,-0.01409731696225558,1,Elevated
2016-02-29,0.021678966789667964,1,Elevated
2016-03-01,-0.00948081264108347,1,Elevated
2016-03-02,-0.001823154056517784,1,Elevated
2016-03-03,-0.004109589041095929,1,Elevated
2016-03-04,0.01375515818431916,1,Elevated
2016-03-07,0.0004522840343736956,1,Elevated
2016-03-08,-0.009041591320072317,1,Elevated
2016-03-09,0.013229927007299302,1,Elevated
2016-03-10,0.007654209815398438,1,Elevated
2016-03-11,-0.005808757819481647,1,Elevated
2016-03-14,0.013033707865168553,1,Elevated
2016-03-15,0.0017746228926354135,1,Elevated
2016-03-17,-0.0004422821760282636,1,Elevated
2016-03-18,-0.001769911504424737,1,Elevated
2016-03-21,-0.007978723404255317,1,Elevated
2016-03-22,-0.0013404825737265424,1,Elevated
2016-03-23,-0.010738255033557076,1,Elevated
2016-03-24,-0.004070556309362261,1,Elevated
2016-03-29,-0.0072661217075385975,1,Elevated
2016-03-30,-0.006861848124428138,1,Elevated
2016-03-31,-0.00690925840626444,1,Elevated
2016-04-01,-0.013450834879406348,1,Elevated
2016-04-04,-0.008932769158439102,1,Elevated
2016-04-05,0.011385199240986799,1,Elevated
2016-04-06,0.00797373358348974,1,Elevated
2016-04-07,-0.011633317822242861,1,Elevated
2016-04-08,0.005649717514124353,1,Elevated
2016-04-11,0.004681647940074862,1,Elevated
2016-04-12,0.009319664492078328,1,Elevated
2016-04-13,-0.0004616805170821747,1,Elevated
2016-04-14,0.020785219399538146,1,Elevated
2016-04-15,-0.00588235294117645,1,Elevated
2016-04-18,0.012744651797906181,1,Elevated
2016-04-19,0.004494382022471877,1,Elevated
2016-04-20,0.004474272930648837,1,Elevated
2016-04-21,0.0075723830734966135,1,Elevated
2016-04-22,0.01105216622457994,1,Elevated
2016-04-25,-0.0021862702229995534,1,Elevated
2016-04-26,0.0074496056091148954,1,Elevated
2016-04-27,-0.0030448020878642845,1,Elevated
2016-04-28,-0.005671902268760909,1,Elevated
2016-04-29,0.01623519087318992,1,Elevated
2016-05-03,-0.004749568221070866,1,Elevated
2016-05-04,0.0008676789587851452,1,Elevated
2016-05-05,-0.008669267446900775,1,Elevated
2016-05-06,-0.02098819414079578,1,Elevated
2016-05-09,0.00625279142474322,1,Elevated
2016-05-10,0.005770084332001879,1,Elevated
2016-05-11,-0.0101500441306267,1,Elevated
2016-05-12,-0.013374944271065559,1,Elevated
2016-05-13,-0.009489380930863045,1,Elevated
2016-05-17,-0.011126564673157202,1,Elevated
2016-05-18,0.0037505860290669712,1,Elevated
2016-05-19,-0.009808500700607237,1,Elevated
2016-05-20,0.013207547169811429,1,Elevated
2016-05-23,0.030726256983240274,1,Elevated
2016-05-24,-0.009033423667569984,1,Elevated
2016-05-25,-0.010938924339106704,1,Elevated
2016-05-26,-0.0013824884792627001,1,Elevated
2016-05-27,0.0198431010613751,1,Elevated
2016-05-31,0.012669683257918507,1,Elevated
2016-06-01,-0.00044682752457547714,1,Elevated
2016-06-02,0.005364327223960741,1,Elevated
2016-06-03,-0.0035571365051133563,1,Elevated
2016-06-06,0.007585899152164233,1,Elevated
2016-06-07,-0.0004428697962799433,1,Elevated
2016-06-08,-0.0017722640673459855,1,Elevated
2016-06-09,0.002219263204616073,1,Elevated
2016-06-10,0.00797165633303809,1,Elevated
2016-06-13,0.010105448154657193,1,Elevated
2016-06-14,0.00391474554153981,1,Elevated
2016-06-15,0.007365684575389997,1,Elevated
2016-06-16,-0.012473118279569873,1,Elevated
2016-06-17,-0.012195121951219523,1,Elevated
2016-06-20,-0.0092592592592593,1,Elevated
2016-06-21,0.002670226969292422,1,Elevated
2016-06-22,0.004882379050155317,1,Elevated
2016-06-23,0.0004416961130742081,1,Elevated
2016-06-24,0.026490066225165476,1,Elevated
2016-06-27,0.015483870967741842,1,Elevated
2016-06-28,0.0012706480304955914,1,Elevated
2016-06-29,-0.0038071065989847552,1,Elevated
2016-06-30,-0.001698513800424628,1,Elevated
2016-07-01,0.02254359846873677,1,Elevated
2016-07-04,-0.0074875207986688785,1,Elevated
2016-07-05,0.027242246437552353,1,Elevated
2016-07-06,0.01591187270501826,1,Elevated
2016-07-07,0.009236947791164685,1,Elevated
2016-07-08,-0.005571030640668551,1,Elevated
2016-07-11,-0.0008003201280512018,1,Elevated
2016-07-12,-0.011613936724068852,1,Elevated
2016-07-13,0.009319286871961152,1,Elevated
2016-07-14,-0.004817342432757887,1,Elevated
2016-07-15,-0.011698265429608723,1,Elevated
2016-07-19,-0.013360323886639658,1,Elevated
2016-07-20,-0.008206811653672541,1,Elevated
2016-07-21,-0.022755482002482452,1,Elevated
2016-07-22,0.009314140558848383,1,Elevated
2016-07-25,-0.015520134228187876,1,Elevated
2016-07-26,-0.0021303792074989225,1,Elevated
2016-07-27,0.004269854824936026,1,Elevated
2016-07-28,-0.008503401360544172,1,Elevated
2016-07-29,-0.015008576329331058,1,Elevated
2016-08-01,0.025685676969960713,1,Elevated
2016-08-02,-0.014006791171477073,1,Elevated
2016-08-03,0.02410675850193722,1,Elevated
2016-08-04,0.010508617065994041,1,Elevated
2016-08-05,0.006655574043261225,1,Elevated
2016-08-08,-0.006611570247933907,1,Elevated
2016-08-09,-0.005823627287853572,1,Elevated
2016-08-10,0.012552301255230214,1,Elevated
2016-08-11,-0.002892561983471098,1,Elevated
2016-08-12,0.0029009531703274583,1,Elevated
2016-08-15,0.01983471074380172,1,Elevated
2016-08-16,0.006888168557536378,1,Elevated
2016-08-17,0.006036217303822866,1,Elevated
2016-08-18,0.0047999999999999154,1,Elevated
2016-08-19,-0.0079617834394905,1,Elevated
2016-08-22,-0.0345104333868379,1,Elevated
2016-08-23,0.011637572734829682,1,Elevated
2016-08-24,-0.007806080525883274,1,Elevated
2016-08-25,0.004554865424430732,1,Elevated
2016-08-26,0.0012366034624897715,1,Elevated
2016-08-30,-0.02799505969534788,1,Elevated
2016-08-31,-0.0008470986869970609,1,Elevated
2016-09-01,-0.02034760491733789,1,Elevated
2016-09-02,-0.009086975335352632,1,Elevated
2016-09-05,-0.0008733624454148048,1,Elevated
2016-09-06,-0.004807692307692291,1,Elevated
2016-09-07,0.0017566974088714105,1,Elevated
2016-09-08,-0.003068829460762812,1,Elevated
2016-09-09,-0.037379067722075665,1,Elevated
2016-09-12,0.008222932846048359,1,Elevated
2016-09-13,0.0036248300860897142,1,Elevated
2016-09-14,0.013544018058690765,1,Elevated
2016-09-15,0.00222717149220486,1,Elevated
2016-09-19,0.02315227070347281,1,Elevated
2016-09-20,0.003046127067014792,1,Elevated
2016-09-21,0.0013015184381779399,1,Elevated
2016-09-22,0.005199306759098743,1,Elevated
2016-09-23,-0.012931034482758674,1,Elevated
2016-09-26,-0.007423580786026229,1,Elevated
2016-09-27,0.005279366476022895,1,Elevated
2016-09-28,-0.009628008752735284,1,Elevated
2016-09-29,-0.0225364560318162,1,Elevated
2016-09-30,0.004972875226039841,1,Elevated
2016-10-03,0.019793072424651337,1,Elevated
2016-10-04,0.012351124834583116,1,Elevated
2016-10-05,0.006971677559912903,1,Elevated
2016-10-06,-0.01384681955863265,1,Elevated
2016-10-07,0.0175515577007459,1,Elevated
2016-10-10,-0.0383786114704614,1,Elevated
2016-10-11,0.0085201793721974,1,Elevated
2016-10-12,-0.007558915073365924,1,Elevated
2016-10-13,0.008512544802867339,1,Elevated
2016-10-14,0.0075521990226565805,1,Elevated
2016-10-17,-0.00970017636684306,1,Elevated
2016-10-18,-0.009795191451469232,1,Elevated
2016-10-19,0.00629496402877705,1,Elevated
2016-10-20,-0.00044682752457547714,1,Elevated
2016-10-21,-0.0008940545373268272,1,Elevated
2016-10-24,-0.0017897091722595126,1,Elevated
2016-10-25,0.014343343792021512,1,Elevated
2016-10-26,0.0061864781263809565,1,Elevated
2016-10-27,-0.002195871761089152,1,Elevated
2016-10-28,0.0030809859154929953,1,Elevated
2016-10-31,-0.00745941202281708,1,Elevated
2016-11-01,-0.01458885941644561,1,Elevated
2016-11-02,-0.0013458950201884479,1,Elevated
2016-11-03,-0.015274034141958714,1,Elevated
2016-11-04,-0.040602189781021925,2,Normal
2016-11-07,-0.02757964812173086,2,Normal
2016-11-08,0.00929095354523235,1,Elevated
2016-11-09,-0.006782945736434121,1,Elevated
2016-11-10,0.0024390243902439046,1,Elevated
2016-11-11,0.006326034063260266,1,Elevated
2016-11-14,-0.01644100580270791,1,Elevated
2016-11-15,-0.007374631268436627,1,Elevated
2016-11-16,0.007429420505200568,1,Elevated
2016-11-17,-0.001474926253687281,1,Elevated
2016-11-18,0.012801575578532676,1,Elevated
2016-11-21,-0.008264462809917328,1,Elevated
2016-11-22,0.007352941176470562,1,Elevated
2016-11-23,0.0024330900243310083,1,Elevated
2016-11-24,-0.0014563106796116054,1,Elevated
2016-11-25,-0.006319883325230924,1,Elevated
2016-11-28,-0.005381604696673148,1,Elevated
2016-11-29,-0.019675356615838635,1,Elevated
2016-11-30,-0.014550928248871053,1,Elevated
2016-12-01,-0.0015274949083503575,1,Elevated
2016-12-02,-0.03059663437021931,1,Elevated
2016-12-05,-0.021041557075223594,1,Elevated
2016-12-06,-0.016657710908113965,1,Elevated
2016-12-07,-0.012021857923497303,1,Elevated
2016-12-08,-0.01935840707964598,1,Elevated
2016-12-09,-0.04230118443316411,2,Normal
2016-12-12,0.020023557126030544,2,Normal
2016-12-13,0.012702078521940052,2,Normal
2016-12-14,0.04275940706955539,2,Normal
2016-12-15,-0.0032804811372334486,1,Elevated
2016-12-19,0.024752475247524774,1,Elevated
2016-12-20,-0.010198604401502998,1,Elevated
2016-12-21,0.00433839479392617,1,Elevated
2016-12-22,-0.02699784017278617,1,Elevated
2016-12-23,0.007769145394006749,1,Elevated
2016-12-28,-0.006057268722466924,1,Elevated
